PID	Code	Description	Units	UnitType	CollectedOn
89	6019	FARM SP RC	20	AC	2024-12-04
89	6134	WPUNR-4	12	AC	2024-12-04
89	6334	OTUNR-4	6	AC	2024-12-04
89	6810	WETLANDS-REC	16	AC	2024-12-04
115	6019	FARM SP RC	10	AC	2024-12-04
115	6810	WETLANDS-REC	10	AC	2024-12-04
171	6335	OTUNR-5	1	AC	2024-12-04
171	6335	OTUNR-5	5	AC	2024-12-04
180	6323	OTUN-3	17	AC	2024-12-04
181	6333	OTUNR-3	1	AC	2024-12-04
181	6333	OTUNR-3	18	AC	2024-12-04
182	6123	WPUN-3	10	AC	2024-12-04
187	6515	FARMR-5	20	AC	2024-12-04
187	6335	OTUNR-5	22	AC	2024-12-04
188	6504	FARM-4	4	AC	2024-12-04
188	6224	HWUN-4	5	AC	2024-12-04
189	6134	WPUNR-4	36	AC	2024-12-04
190	6215	HWMR-5	1	AC	2024-12-04
190	6215	HWMR-5	18	AC	2024-12-04
190	6115	WPMR-5	4	AC	2024-12-04
191	6514	FARMR-4	1	AC	2024-12-04
191	6514	FARMR-4	5	AC	2024-12-04
191	6810	WETLANDS-REC	17	AC	2024-12-04
191	6234	HWUNR-4	32	AC	2024-12-04
191	6334	OTUNR-4	48	AC	2024-12-04
192	6125	WPUN-5	1	AC	2024-12-04
192	6225	HWUN-5	96	AC	2024-12-04
192	6125	WPUN-5	86	AC	2024-12-04
192	6505	FARM-5	7	AC	2024-12-04
194	6324	OTUN-4	2	AC	2024-12-04
197	6213	HWMR-3	1	AC	2024-12-04
197	6213	HWMR-3	75	AC	2024-12-04
197	6810	WETLANDS-REC	5	AC	2024-12-04
201	6225	HWUN-5	28	AC	2024-12-04
202	6136	WPUNR-6	10	AC	2024-12-04
202	6236	HWUNR-6	68	AC	2024-12-04
202	6336	OTUNR-6	24	AC	2024-12-04
202	6516	FARMR-6	4	AC	2024-12-04
204	6125	WPUN-5	23	AC	2024-12-04
204	6225	HWUN-5	20	AC	2024-12-04
204	6325	OTUN-5	4	AC	2024-12-04
206	6326	OTUN-6	14	AC	2024-12-04
207	6515	FARMR-5	0	AC	2024-12-04
207	6515	FARMR-5	5	AC	2024-12-04
207	6710	UNPRODUCTIVE-REC	4	AC	2024-12-04
207	6215	HWMR-5	30	AC	2024-12-04
207	6115	WPMR-5	19	AC	2024-12-04
207	6315	OTMR-5	66	AC	2024-12-04
217	6234	HWUNR-4	1	AC	2024-12-04
217	6234	HWUNR-4	19	AC	2024-12-04
217	6334	OTUNR-4	36	AC	2024-12-04
223	6334	OTUNR-4	10	AC	2024-12-04
223	6514	FARMR-4	0	AC	2024-12-04
230	6335	OTUNR-5	1	AC	2024-12-04
230	6335	OTUNR-5	11	AC	2024-12-04
230	6135	WPUNR-5	17	AC	2024-12-04
241	6235	HWUNR-5	113	AC	2024-12-04
241	6810	WETLANDS-REC	49	AC	2024-12-04
241	6515	FARMR-5	10	AC	2024-12-04
