Ass. Year	Improvements	Land	Total	PID	CollectedOn
2022	93700	167600	261300	5	2023-08-17
2021	93700	167600	261300	5	2023-08-17
2020	80700	130200	210900	5	2023-08-17
2022	77200	104600	181800	7	2023-08-17
2021	77200	104600	181800	7	2023-08-17
2020	62000	88200	150200	7	2023-08-17
2022	114000	140400	254400	8	2023-08-17
2021	114000	140400	254400	8	2023-08-17
2020	106600	101200	207800	8	2023-08-17
2022	112100	157900	270000	9	2023-08-17
2021	108900	157900	266800	9	2023-08-17
2020	89500	121300	210800	9	2023-08-17
2022	254100	163000	417100	10	2023-08-17
2021	254100	163000	417100	10	2023-08-17
2020	254100	125900	380000	10	2023-08-17
2022	261800	225200	487000	12	2023-08-17
2021	261800	225200	487000	12	2023-08-17
2020	260800	171900	432700	12	2023-08-17
2022	275700	280700	556400	13	2023-08-17
2021	275700	280700	556400	13	2023-08-17
2020	257200	186800	444000	13	2023-08-17
2022	1016100	385700	1401800	16	2023-08-17
2021	1016100	385700	1401800	16	2023-08-17
2020	913900	292700	1206600	16	2023-08-17
2022	194000	139100	333100	18	2023-08-17
2021	162500	139100	301600	18	2023-08-17
2020	161500	138400	299900	18	2023-08-17
2022	125000	62300	187300	19	2023-08-17
2021	91700	62300	154000	19	2023-08-17
2020	82100	53500	135600	19	2023-08-17
2022	381400	234400	615800	20	2023-08-17
2021	381400	234400	615800	20	2023-08-17
2020	367500	206400	573900	20	2023-08-17
2022	398100	288400	686500	21	2023-08-17
2021	398100	288400	686500	21	2023-08-17
2020	409800	203600	613400	21	2023-08-17
2022	269300	179700	449000	22	2023-08-17
2021	269300	179700	449000	22	2023-08-17
2020	211300	178700	390000	22	2023-08-17
2022	233100	245600	478700	23	2023-08-17
2021	233100	245600	478700	23	2023-08-17
2020	227500	214300	441800	23	2023-08-17
2022	378700	170500	549200	25	2023-08-17
2021	410600	170500	581100	25	2023-08-17
2020	319400	149000	468400	25	2023-08-17
2022	144700	205300	350000	26	2023-08-17
2021	151100	205300	356400	26	2023-08-17
2020	143500	150400	293900	26	2023-08-17
2022	327100	210000	537100	27	2023-08-17
2021	326700	210000	536700	27	2023-08-17
2020	325200	184600	509800	27	2023-08-17
2022	298800	244000	542800	28	2023-08-17
2021	292900	244000	536900	28	2023-08-17
2020	284900	215400	500300	28	2023-08-17
2022	420400	235700	656100	29	2023-08-17
2021	420400	235700	656100	29	2023-08-17
2020	393200	207900	601100	29	2023-08-17
2022	275300	218200	493500	30	2023-08-17
2021	275800	218200	494000	30	2023-08-17
2020	273700	161800	435500	30	2023-08-17
2022	131000	146800	277800	32	2023-08-17
2021	131000	146800	277800	32	2023-08-17
2020	119100	154700	273800	32	2023-08-17
2022	176400	151600	328000	33	2023-08-17
2021	176400	151600	328000	33	2023-08-17
2020	148000	153900	301900	33	2023-08-17
