PID	App. Year	Improvements	Land	Total	CollectedOn
5	2022	93700	167600	261300	2023-08-17
5	2021	93700	167600	261300	2023-08-17
5	2020	80700	130200	210900	2023-08-17
7	2022	77200	104600	181800	2023-08-17
7	2021	77200	104600	181800	2023-08-17
7	2020	62000	88200	150200	2023-08-17
8	2022	114000	140400	254400	2023-08-17
8	2021	114000	140400	254400	2023-08-17
8	2020	106600	101200	207800	2023-08-17
9	2022	112100	157900	270000	2023-08-17
9	2021	108900	157900	266800	2023-08-17
9	2020	89500	121300	210800	2023-08-17
10	2022	254100	163000	417100	2023-08-17
10	2021	254100	163000	417100	2023-08-17
10	2020	254100	125900	380000	2023-08-17
12	2022	261800	225200	487000	2023-08-17
12	2021	261800	225200	487000	2023-08-17
12	2020	260800	171900	432700	2023-08-17
13	2022	275700	280700	556400	2023-08-17
13	2021	275700	280700	556400	2023-08-17
13	2020	257200	186800	444000	2023-08-17
16	2022	1016100	385700	1401800	2023-08-17
16	2021	1016100	385700	1401800	2023-08-17
16	2020	913900	292700	1206600	2023-08-17
18	2022	194000	139100	333100	2023-08-17
18	2021	162500	139100	301600	2023-08-17
18	2020	161500	138400	299900	2023-08-17
19	2022	125000	62300	187300	2023-08-17
19	2021	91700	62300	154000	2023-08-17
19	2020	82100	53500	135600	2023-08-17
20	2022	381400	234400	615800	2023-08-17
20	2021	381400	234400	615800	2023-08-17
20	2020	367500	206400	573900	2023-08-17
21	2022	398100	288400	686500	2023-08-17
21	2021	398100	288400	686500	2023-08-17
21	2020	409800	203600	613400	2023-08-17
22	2022	269300	179700	449000	2023-08-17
22	2021	269300	179700	449000	2023-08-17
22	2020	211300	178700	390000	2023-08-17
23	2022	233100	245600	478700	2023-08-17
23	2021	233100	245600	478700	2023-08-17
23	2020	227500	214300	441800	2023-08-17
25	2022	378700	170500	549200	2023-08-17
25	2021	410600	170500	581100	2023-08-17
25	2020	319400	149000	468400	2023-08-17
26	2022	144700	205300	350000	2023-08-17
26	2021	151100	205300	356400	2023-08-17
26	2020	143500	150400	293900	2023-08-17
27	2022	327100	210000	537100	2023-08-17
27	2021	326700	210000	536700	2023-08-17
27	2020	325200	184600	509800	2023-08-17
28	2022	298800	244000	542800	2023-08-17
28	2021	292900	244000	536900	2023-08-17
28	2020	284900	215400	500300	2023-08-17
29	2022	420400	235700	656100	2023-08-17
29	2021	420400	235700	656100	2023-08-17
29	2020	393200	207900	601100	2023-08-17
30	2022	275300	218200	493500	2023-08-17
30	2021	275800	218200	494000	2023-08-17
